gp_practice,latitude,longitude,asthma_percentage,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Cofton Medical Centre,52.3928435,-1.9668298,7.7486,1.3033424908424909,234.7026098901099,2.0706272893772892,12.904075091575091,49.84764194139194,3.2524038461538463,4.3592032967032965,5.699175824175824,1.3974358974358974
College Road Surgery,52.53651619999999,-1.8747975,6.2728,1.31856684981685,235.79246794871796,2.2152014652014653,12.82852564102564,51.746222527472526,3.25709706959707,4.28926282051282,5.570627289377289,1.4025869963369964
Cotmore Surgery,52.5438276,-1.8944953,6.9182,1.31856684981685,235.79246794871796,2.2152014652014653,12.82852564102564,51.746222527472526,3.25709706959707,4.28926282051282,5.570627289377289,1.4025869963369964
Cotterils Lane Surgery,52.4858974,-1.8295724,3.6655,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Coventry Road Medical Centre,52.4516821,-1.7753863,6.8387,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Coventry Road Practice,52.4516821,-1.7753863,6.375,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Cranes Park Road Surgery,52.4563865,-1.7795855,6.2087,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Croft Medical Centre,52.4777444,-1.7275957,7.443,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Dorridge Surgery,52.3728579,-1.7520801,5.3439,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Downsfield Medical Centre,52.4663658,-1.7788955,8.1836,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Dr Khuroo's Practice,52.5238787,-1.8573279,5.7427,1.31856684981685,235.79246794871796,2.2152014652014653,12.82852564102564,51.746222527472526,3.25709706959707,4.28926282051282,5.570627289377289,1.4025869963369964
Dr Kulshrestha Family Practice,52.4876953,-1.9373116,6.4069,1.3033424908424909,234.7026098901099,2.0706272893772892,12.904075091575091,49.84764194139194,3.2524038461538463,4.3592032967032965,5.699175824175824,1.3974358974358974
Dr Sn Clay and Partners,52.5296117,-1.8323762,6.5318,1.31856684981685,235.79246794871796,2.2152014652014653,12.82852564102564,51.746222527472526,3.25709706959707,4.28926282051282,5.570627289377289,1.4025869963369964
Dr Walji and Colleagues,52.4573064,-1.887972,7.9918,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Druid Group,52.4671323,-1.8126485,7.2527,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Druids Heath Surgery,52.4055314,-1.8984802,6.5775,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Eden Court Medical Practice,52.5180059,-1.7940684,7.9766,1.31856684981685,235.79246794871796,2.2152014652014653,12.82852564102564,51.746222527472526,3.25709706959707,4.28926282051282,5.570627289377289,1.4025869963369964
Featherstone Medical Centre,52.4261022,-1.8929183,7.6549,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Fernley Medical Centre,52.45180310000001,-1.8646678,5.6347,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Finch Road Primary Care Centre,52.50304329999999,-1.9097603,5.0138,1.296474358974359,235.22298534798534,2.352220695970696,13.079555860805861,50.16277472527472,3.410485347985348,4.239239926739927,5.501717032967033,1.2129120879120878
Firs Surgery,52.50666409999999,-1.8007872,6.4884,1.31856684981685,235.79246794871796,2.2152014652014653,12.82852564102564,51.746222527472526,3.25709706959707,4.28926282051282,5.570627289377289,1.4025869963369964
Firstcare Practice,52.45746279999999,-1.8870038,6.9635,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Frankley Health Centre,52.4049433,-2.0165473,5.8925,1.3033424908424909,234.7026098901099,2.0706272893772892,12.904075091575091,49.84764194139194,3.2524038461538463,4.3592032967032965,5.699175824175824,1.3974358974358974
Garretts Green Lane Surgery,52.4684517,-1.788633,9.3382,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Gate Medical Centre,52.4943257,-1.855811,7.3803,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Grafton Road Surgery,52.4077509,-1.8683863,7.8121,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Granton Medical Centre,52.4154409,-1.9384691,7.1774,1.3033424908424909,234.7026098901099,2.0706272893772892,12.904075091575091,49.84764194139194,3.2524038461538463,4.3592032967032965,5.699175824175824,1.3974358974358974
Green Lane Surgery,52.5036903,-1.7490018,7.0388,1.31856684981685,235.79246794871796,2.2152014652014653,12.82852564102564,51.746222527472526,3.25709706959707,4.28926282051282,5.570627289377289,1.4025869963369964
Green Ridge Surgery,52.4273846,-1.8714496,6.6188,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Greenfield Medical Centre,52.491733,-1.8560475,7.2009,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Greet Medical Practice,52.451887,-1.85801,8.8337,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Hall Green Health,52.4405303,-1.8494512,8.5385,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Hamd Medical Practice,52.487448,-1.8490323,6.4339,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Hampton Surgery,52.42392340000001,-1.7018882,5.6811,1.308379120879121,234.77861721611723,1.8444368131868132,13.209478021978022,49.76087454212454,3.203525641025641,4.426282051282051,5.756181318681318,1.3494734432234432
Harborne Medical Practice,52.4590727,-1.9463678,4.7198,1.3033424908424909,234.7026098901099,2.0706272893772892,12.904075091575091,49.84764194139194,3.2524038461538463,4.3592032967032965,5.699175824175824,1.3974358974358974
